#,Class,Who,Progress,Num,Denom,✓,,Name,Requirements,Rewards,Incomplete,Actual Requirements (if different),Description,Icon Name,Tab,Actual Name,Time,Responsibility
2,Subset,,,0,0,FALSE,,Mining,"Dig deep down, mine up ore (Obtain a pickaxe)",,,Obtain a pickaxe,"Dig deep down, mine up ore",cobblestone,Mining,blazeandcave:mining/root,,
3,Subset,,,0,0,FALSE,,Stone Age,"Mine stone with your new pickaxe (Obtain a block of cobblestone, stone, cobbled deepslate, deepslate, or blackstone)",3 of the stone block you picked up,,"Obtain a block of cobblestone, stone, cobbled deepslate, deepslate, or blackstone",Mine stone with your new pickaxe,wooden_pickaxe,Mining,minecraft:story/mine_stone,,
4,Subset,,,0,0,FALSE,,Spelunker,"Discover every cave biome (Enter the following biomes: Lush Caves, Dripstone Caves and Deep Dark)",,,"Enter the following biomes: Lush Caves, Dripstone Caves and Deep Dark",Discover every cave biome,chainmail_helmet,Mining,blazeandcave:mining/spelunker,,
,Unique,,,,,FALSE,,I yearned for the mines,Spend five in-game days below y-level 32 (This can only be obtained in the Overworld),1 Fortune II Enchanted Book,,This can only be obtained in the Overworld,Spend five in-game days below y-level 32,player_head,Mining,blazeandcave:mining/i_yearned_for_the_mines,,
5,Incidental,,,0,0,FALSE,,This Dirt is Dirtier,Dig through some Rooted Dirt beneath an Azalea Tree so you can find a Lush Cave,,,,Dig through some Rooted Dirt beneath an Azalea Tree so you can find a Lush Cave,rooted_dirt,Mining,blazeandcave:mining/this_dirt_is_dirtier,,
6,Incidental,,,0,0,FALSE,,Leaflet Drop,Fall through a Big Dripleaf (Enter a big dripleaf block while its tilt is fully down),2 Big Dripleaves,,Enter a big dripleaf block while its tilt is fully down,Fall through a Big Dripleaf,big_dripleaf,Mining,blazeandcave:mining/leaflet_drop,,
7,Subset,,,0,0,FALSE,,A Shiny Treat,Eat some Glow Berries,4 Glow Berries,,,Eat some Glow Berries,glow_berries,Mining,blazeandcave:mining/a_shiny_treat,,
8,Subset,,,0,0,FALSE,,Particle Fan,Obtain a Spore Blossom,,,,Obtain a Spore Blossom,spore_blossom,Mining,blazeandcave:mining/particle_fan,,
9,Subset,,,0,0,FALSE,,Moss Maker,Use Bone Meal on Moss to spread its wonderful lushness across hard blocks of stone (Use Bone Meal on a Moss Block),8 Bone Meal,,Use Bone Meal on a Moss Block,Use Bone Meal on Moss to spread its wonderful lushness across hard blocks of stone,moss_carpet,Mining,blazeandcave:mining/moss_maker,,
10,Subset,,,0,0,FALSE,,Iggy,Obtain an Azalea (Obtain either an Azalea or a Flowering Azalea),,,Obtain either an Azalea or a Flowering Azalea,Obtain an Azalea,flowering_azalea,Mining,blazeandcave:mining/iggy,,
